Player,Team25,Age,Total Value,APY,Total Guaranteed,Fully Guaranteed,Free Agency,position,rolled_up_pos,player_id
Dak Prescott,Cowboys,32.0,240000000,60000000,231000000,129000000,2029 Void,quarterback,QB,dak_prescott_QB
Joe Burrow,Bengals,29.0,275000000,55000000,219010000,146510000,2030 Void,quarterback,QB,joe_burrow_QB
Josh Allen,Bills,29.0,330000000,55000000,250000000,147000000,2031 Void,quarterback,QB,josh_allen_QB
Jordan Love,Packers,27.0,220000000,55000000,160300000,100800000,2029 Void,quarterback,QB,jordan_love_QB
Trevor Lawrence,Jaguars,26.0,275000000,55000000,200000000,142000000,2031 Void,quarterback,QB,trevor_lawrence_QB
Tua Tagovailoa,Dolphins,27.0,212400000,53100000,167171000,93171000,2029 Void,quarterback,QB,tua_tagovailoa_QB
Jared Goff,Lions,31.0,212000000,53000000,170611832,113611832,2029 Void,quarterback,QB,jared_goff_QB
Brock Purdy,49ers,26.0,265000000,53000000,182550000,100000000,2031 Void,quarterback,QB,brock_purdy_QB
Justin Herbert,Chargers,27.0,262500000,52500000,193738375,133738375,2030 UFA,quarterback,QB,justin_herbert_QB
Lamar Jackson,Ravens,28.0,260000000,52000000,185000000,135000000,2028 Void,quarterback,QB,lamar_jackson_QB
Jalen Hurts,Eagles,27.0,255000000,51000000,179304000,110000000,2029 Void,quarterback,QB,jalen_hurts_QB
Kyler Murray,Cardinals,28.0,230500000,46100000,160000000,103300000,2029 UFA,quarterback,QB,kyler_murray_QB
Deshaun Watson,Browns,30.0,230000000,46000000,230000000,230000000,2027 Void,quarterback,QB,deshaun_watson_QB
Kirk Cousins,Falcons,37.0,180000000,45000000,100000000,90000000,2028 UFA,quarterback,QB,kirk_cousins_QB
Patrick Mahomes,Chiefs,30.0,450000000,45000000,141000000,63081905,2032 Void,quarterback,QB,patrick_mahomes_QB
Matt Stafford,Rams,37.0,80000000,40000000,40000000,40000000,2027 Void,quarterback,QB,matt_stafford_QB
Geno Smith,Raiders,35.0,75000000,37500000,66500000,58500000,2028 UFA,quarterback,QB,geno_smith_QB
Derek Carr,Saints,34.0,150000000,37500000,100000000,60000000,2027 Void,quarterback,QB,derek_carr_QB
Sam Darnold,Seahawks,28.0,100500000,33500000,55000000,37500000,2028 Void,quarterback,QB,sam_darnold_QB
Baker Mayfield,Buccaneers,30.0,100000000,33333333,50000000,40000000,2027 Void,quarterback,QB,baker_mayfield_QB
Justin Fields,Jets,26.0,40000000,20000000,30000000,30000000,2027 Void,quarterback,QB,justin_fields_QB
